label,hold,th_long_mult,th_short_mult,scaled,ret,ann,sharpe,dd,wr,avg_bps,trades,trades_per_day
h5_L1.0_S1.5_1x,5,1.0,1.5,False,1.9609016323041986,12.830759519918136,12.19604236348253,-0.012924204962819763,0.82,110.09671965251626,617,6.17
h3_L1.0_S1.5_1x,3,1.0,1.5,False,0.9721311227037066,4.1730253209376125,11.902899654018388,-0.00866688100498525,0.82,68.53738012091458,697,6.97
h1_L0.5_S2.0_sc,1,0.5,2.0,True,4.428593106660442,58.971269727557335,11.825320837406762,-0.028262691095740866,0.71,173.11057059709046,2781,27.81
h1_L0.5_LO_sc,1,0.5,999.0,True,4.428593106660442,58.971269727557335,11.825320837406762,-0.028262691095740866,0.71,173.11057059709046,2781,27.81
h3_L0.5_S1.0_1x,3,0.5,1.0,False,2.627528425861564,21.60779439466458,11.789636805306726,-0.030853721246802523,0.66,131.1617012167309,2497,24.97
h5_L1.0_S1.5_sc,5,1.0,1.5,True,2.7730548062842955,23.865507934319886,11.751588387525334,-0.015236364709975692,0.82,135.2066594205546,607,6.07
h1_L0.5_S1.5_sc,1,0.5,1.5,True,4.390724359977384,57.96387878896317,11.676174724220383,-0.028262691095740866,0.71,172.4397898090885,2828,28.28
h8_L0.7_S1.0_sc,8,0.7,1.0,True,7.840241285302419,194.18352968527276,11.383830166045632,-0.02424372056049895,0.64,224.82211565359415,1121,11.21
h5_L0.7_S1.0_sc,5,0.7,1.0,True,5.177208971159537,80.9817812692638,11.235004790695715,-0.021754718920221405,0.68,186.97137032493728,1471,14.71
h3_L1.0_S1.5_sc,3,1.0,1.5,True,1.3375294272090419,6.805345835773941,11.22679826420756,-0.01100727641858823,0.8,85.96358077535639,672,6.72
h2_L1.0_LO_1x,2,1.0,999.0,False,0.6298338988986514,2.2612710734099033,10.489347743569558,-0.007227872159029758,0.81,49.229319099288155,717,7.17
h2_L1.0_S2.0_1x,2,1.0,2.0,False,0.625942203692037,2.2424579420691693,10.433702647785138,-0.007227872159029758,0.81,48.9893103745646,718,7.18
h8_L0.7_S1.0_1x,8,0.7,1.0,False,2.991876569421532,27.500244926217086,10.31111353320376,-0.02222273829066468,0.62,141.61761279192245,1142,11.42
h2_L1.0_LO_sc,2,1.0,999.0,True,0.9430841426566101,3.990564698959754,10.23502820950433,-0.007698543183653039,0.83,67.15581488334375,706,7.06
h2_L1.0_S2.0_sc,2,1.0,2.0,True,0.9372944136574464,3.954654954008169,10.181529599749991,-0.007698543183653039,0.83,66.85620373134364,707,7.07
h1_L0.7_LO_sc,1,0.7,999.0,True,1.3279328188216555,6.728024175238117,9.92048050913101,-0.028018517681915656,0.73,85.73789904968905,1894,18.94
h1_L0.7_S2.0_sc,1,0.7,2.0,True,1.3279328188216555,6.728024175238117,9.92048050913101,-0.028018517681915656,0.73,85.73789904968905,1894,18.94
h3_L0.7_S1.0_sc,3,0.7,1.0,True,2.6927117461647443,22.60347177880337,9.754823020285619,-0.030585198794280455,0.61,133.70431248592718,1812,18.12
h1_L0.7_S1.5_sc,1,0.7,1.5,True,1.3128903111505155,6.607731719367101,9.65609896452773,-0.028018517681915545,0.72,85.1180845308909,1944,19.44
h5_L0.7_S1.0_1x,5,0.7,1.0,False,1.7878350979762656,10.954910717612508,9.652377264091843,-0.019591055034297367,0.64,104.44286833039845,1449,14.49
h2_L1.0_S1.5_1x,2,1.0,1.5,False,0.6307382283709637,2.2656519061574856,9.57045338697664,-0.007139225957247475,0.78,49.338127230615974,761,7.61
h2_L1.0_S1.5_sc,2,1.0,1.5,True,0.942469861685151,3.9867475155827092,9.46553012551551,-0.00769854318365315,0.8,67.20870519509339,749,7.49
h2_L0.5_S1.0_1x,2,0.5,1.0,False,1.3795706370784595,7.1494183915272345,9.463099171293463,-0.027261931218422908,0.63,88.09969360944096,2987,29.87
h3_L0.7_S1.0_1x,3,0.7,1.0,False,1.048381404327309,4.670406522479992,8.101252774444571,-0.036854079873165024,0.58,72.92994277423692,1835,18.35
h1_L0.5_S1.0_sc,1,0.5,1.0,True,1.974294825540591,12.982644548495397,7.986116324321563,-0.038941361472967784,0.57,111.88846733484502,3427,34.27
h2_L0.7_S1.0_sc,2,0.7,1.0,True,1.6039506123714395,9.135174675250024,7.979873992461132,-0.021920485403919998,0.63,97.91914797175839,2192,21.92
h1_L0.7_S2.0_1x,1,0.7,2.0,False,0.4430993384169384,1.429387937402872,7.474392967689502,-0.01923794131360823,0.67,37.04110839006226,1959,19.59
h1_L0.7_LO_1x,1,0.7,999.0,False,0.4430993384169384,1.429387937402872,7.474392967689502,-0.01923794131360823,0.67,37.04110839006226,1959,19.59
h1_L0.5_LO_1x,1,0.5,999.0,False,0.6044989065418127,2.139940435569447,7.455187187759738,-0.028566461380194363,0.6,47.88744383655965,2902,29.02
h1_L0.5_S2.0_1x,1,0.5,2.0,False,0.6044989065418127,2.139940435569447,7.455187187759738,-0.028566461380194363,0.6,47.88744383655965,2902,29.02
h1_L0.5_S1.5_1x,1,0.5,1.5,False,0.5912933634005861,2.077766077911867,7.267035575816829,-0.029214002866061906,0.6,47.065012974673266,2951,29.51
h1_L0.7_S1.5_1x,1,0.7,1.5,False,0.43121019542590644,1.381235122355521,7.208506375195357,-0.020574301215318558,0.67,36.218828781356294,2011,20.11
h1_L1.0_LO_sc,1,1.0,999.0,True,0.3046196801735481,0.9031415887601391,6.012145608695712,-0.015144815120292532,0.68,26.864279763678493,754,7.54
h1_L1.0_S2.0_sc,1,1.0,2.0,True,0.30149085911119267,0.8921149440067377,5.954918516270919,-0.015144815120292754,0.68,26.623799585050342,755,7.55
h1_L1.0_LO_1x,1,1.0,999.0,False,0.17699845762890942,0.48346622472703493,5.401893790036422,-0.016098311426608558,0.68,16.421013261180132,780,7.8
h1_L1.0_S1.5_sc,1,1.0,1.5,True,0.2858824740313537,0.8376681599266353,5.369144980906771,-0.01898960025787899,0.66,25.443084124515124,805,8.05
h1_L1.0_S2.0_1x,1,1.0,2.0,False,0.17471266582908607,0.47650389278135896,5.338043679538021,-0.01609831142660867,0.68,16.22629342352356,781,7.81
h2_L0.7_S1.0_1x,2,0.7,1.0,False,0.43658338530632834,1.4029272980440926,5.009496790034381,-0.03601645169305001,0.52,36.939171036399074,2208,22.08
h1_L1.0_S1.5_1x,1,1.0,1.5,False,0.1630764812004164,0.4413585304317269,4.751077998274117,-0.01947202194104347,0.65,15.241720575096885,826,8.26
h8_L1.5_LO_1x,8,1.5,999.0,False,0.16145463087477196,0.4364993862994382,3.3499425709621695,-0.013342430134576588,0.23,15.222412124323826,56,0.56
h5_L1.5_LO_sc,5,1.5,999.0,True,0.14651349353369114,0.39218705855347435,3.1973375208970407,-0.01124893304118657,0.19,13.905629965358985,58,0.58
h8_L1.5_S2.0_1x,8,1.5,2.0,False,0.14952410394775772,0.4010504020235701,3.08230714867551,-0.013342430134576588,0.23,14.195206531452014,57,0.57
h1_L0.7_S1.0_sc,1,0.7,1.0,True,0.28124223428708284,0.821661230670631,3.0798340775366038,-0.05713603848130455,0.46,25.631500416093573,2481,24.81
h5_L1.5_LO_1x,5,1.5,999.0,False,0.10409444591454009,0.27079373461927103,3.0288184202499906,-0.010768285252827692,0.18,10.037898662823252,58,0.58
h5_L1.5_S2.0_sc,5,1.5,2.0,True,0.13844259920386515,0.36858871431933515,3.012971960578404,-0.011248933041186682,0.19,13.201678867064377,59,0.59
h8_L1.5_LO_sc,8,1.5,999.0,True,0.21465731082673845,0.6009512946200259,2.9559198589023565,-0.028233853319649893,0.23,20.00131559483797,56,0.56
h5_L1.5_S2.0_1x,5,1.5,2.0,False,0.09802528363053775,0.2539547473736383,2.841151896764978,-0.010768285252827914,0.18,9.488202728163005,59,0.59
h2_L1.5_LO_sc,2,1.5,999.0,True,0.061740124787843964,0.1560167249212896,2.7680940551218334,-0.008802764673440322,0.19,6.049768929933419,60,0.6
h8_L1.5_S2.0_sc,8,1.5,2.0,True,0.1985338681539046,0.5500073309001932,2.7318398966861803,-0.028233853319649782,0.23,18.673908882745703,57,0.57
h2_L1.5_S2.0_sc,2,1.5,2.0,True,0.05855903296871956,0.14765274437420794,2.616881093620182,-0.008802764673440211,0.19,5.750157777933311,61,0.61
h3_L1.5_LO_sc,3,1.5,999.0,True,0.05767707623554785,0.14534014123509098,2.552108795582817,-0.009073535439269143,0.17,5.668020498090193,60,0.6
h3_L1.5_S2.0_sc,3,1.5,2.0,True,0.05341653192862883,0.13420697558488803,2.350507325422585,-0.009073535439269143,0.17,5.26519959909868,61,0.61
