etf_code,date,datetime,minute_idx,fwd_ret_1m,horizon_min,pred_ret,pred_dir,confidence,signed_ret_bps,net_signed_ret_bps,fwd_ret_2m,fwd_ret_3m,fwd_ret_4m,fwd_ret_5m,breadth_diff_1,ret_oc,gap_abs,open30_flip_rate,open30_abs_bdiff_mean,open30_trendness,pred_sign,breadth_sign,breadth_align,diverge_now
510300.XSHG,2024-02-28,2024-02-28 13:56:00,175,,5,0.0013999050215208276,1.0,0.0014448730771048557,28.694424279529606,22.694424279529606,,,,0.0028694424279529607,994.0,-0.0028694424279529316,0.3561751934373564,0.5666666666666667,1515.5172413793102,0.14262328594976453,1.0,1.0,True,True
510300.XSHG,2024-02-28,2024-02-28 14:48:00,227,,5,0.0013662521291265188,1.0,0.0014101391791333923,0.0,-6.0,,,,0.0,29.0,-0.0028860048891349867,0.37534422220561836,0.5666666666666667,1515.5172413793102,0.14262328594976453,1.0,1.0,True,True
510300.XSHG,2024-03-04,2024-03-04 10:07:00,36,,5,0.001370776314042384,1.0,0.001414634727580444,0.0,-6.0,,,,0.0,507.0,-0.002836881335199615,0.5558945203875881,0.5666666666666667,2110.1724137931033,0.19999999999997778,1.0,1.0,True,True
510300.XSHG,2024-03-04,2024-03-04 11:27:00,116,,5,0.0013208910833342334,1.0,0.00136315340343573,0.0,-6.0,,,,0.0,1147.0,-0.0028288562004777137,0.20879996134063428,0.5666666666666667,2110.1724137931033,0.19999999999997778,1.0,1.0,True,True
510300.XSHG,2024-03-05,2024-03-05 10:03:00,32,,5,0.0014017357135789922,1.0,0.0014471625155246788,28.288562004778445,22.288562004778445,,,,0.0028288562004778446,413.0,-0.0028288562004777137,0.7183927569553563,0.5333333333333333,1591.3793103448277,1.0,1.0,1.0,True,True
510300.XSHG,2024-03-13,2024-03-13 10:04:00,33,,5,0.0013426216921793334,1.0,0.0013848710613495276,0.0,-6.0,,,,0.0,908.0,-0.002797204621061254,0.2619777464552597,0.5666666666666667,1243.6896551724137,0.14285714285713114,1.0,1.0,True,True
510300.XSHG,2024-03-18,2024-03-18 10:03:00,32,,5,0.0013429718879249839,1.0,0.0013853325514666108,0.0,-6.0,,,,0.0,1824.0,-0.0027894020875785254,0.23385181928646728,0.4,1302.2758620689656,0.2497384021715001,1.0,1.0,True,True
510300.XSHG,2024-03-22,2024-03-22 10:44:00,73,,5,0.0013375354025571297,1.0,0.0013804798965093956,0.0,-6.0,,,,0.0,709.0,-0.002836881335199615,0.21610266082876048,0.6,1447.7586206896551,0.42822758468923416,1.0,1.0,True,True
510300.XSHG,2024-03-22,2024-03-22 14:36:00,215,,5,0.001360739387573494,1.0,0.0014044288961192418,0.0,-6.0,,,,0.0,83.0,-0.0028288562004777137,0.5007907877048247,0.6,1447.7586206896551,0.42822758468923416,1.0,1.0,True,True
510300.XSHG,2024-04-12,2024-04-12 14:23:00,202,,5,0.0013478667227789462,1.0,0.001390466057227873,28.77699827614974,22.77699827614974,,,,0.002877699827614974,1168.0,-0.002877699827615058,0.40279189939037124,0.6,1750.7241379310344,0.1995432480231085,1.0,1.0,True,True
510300.XSHG,2024-04-15,2024-04-15 10:24:00,53,,5,0.001321905747052263,1.0,0.0013636344776508207,28.288562004778445,22.288562004778445,,,,0.0028288562004778446,1574.0,-0.0028288562004777137,0.2274291578730172,0.5,1749.0344827586207,0.2502678898864735,1.0,1.0,True,True
510300.XSHG,2024-04-15,2024-04-15 13:04:00,123,,5,0.001339324931429717,1.0,0.0013816035351593614,28.288562004778445,22.288562004778445,,,,0.0028288562004778446,1765.0,-0.0028288562004777137,0.29916488891289206,0.5,1749.0344827586207,0.2502678898864735,1.0,1.0,True,True
510300.XSHG,2024-07-03,2024-07-03 10:42:00,71,,5,0.0013855237941663102,1.0,0.0014446896274030617,28.694424279529606,22.694424279529606,,,,0.0028694424279529607,831.0,-0.0028694424279529316,0.16621060048742084,0.4666666666666667,1686.7586206896551,1.0,1.0,1.0,True,True
510300.XSHG,2024-07-05,2024-07-05 10:02:00,31,,5,0.0014471268811181027,1.0,0.0015078709308969226,0.0,-6.0,,,,0.0,1943.0,-0.0028943580263644146,0.24692566918096326,0.5666666666666667,2167.9655172413795,0.3330134352581874,1.0,1.0,True,True
510300.XSHG,2024-07-24,2024-07-24 11:00:00,89,,5,0.0013100554702930966,1.0,0.0013680026031926084,57.306747089850745,51.306747089850745,,,,0.0057306747089850745,1840.0,-0.0028694424279529316,0.1914117953315457,0.5,1966.551724137931,0.20045753565304342,1.0,1.0,True,True
510300.XSHG,2024-07-24,2024-07-24 13:02:00,121,,5,0.0013013360329542695,1.0,0.001358897482647429,0.0,-6.0,,,,0.0,1196.0,-0.0028612322810321234,0.13384068702958282,0.5,1966.551724137931,0.20045753565304342,1.0,1.0,True,True
510300.XSHG,2024-07-24,2024-07-24 14:50:00,229,,5,0.001314652716530489,1.0,0.00137280319749024,28.77699827614974,22.77699827614974,,,,0.002877699827614974,302.0,-0.002877699827615058,0.1336283714610649,0.5,1966.551724137931,0.20045753565304342,1.0,1.0,True,True
510300.XSHG,2024-09-02,2024-09-02 10:54:00,83,,5,0.001564662177902606,1.0,0.0016336126104877567,0.0,-6.0,,,,0.0,385.0,-0.0029806281381377893,0.3088468239395896,0.5333333333333333,1460.3793103448277,0.3333333333333201,1.0,1.0,True,True
510300.XSHG,2024-09-09,2024-09-09 13:44:00,163,,5,0.0015816510409981904,1.0,0.0016512496121035725,0.0,-6.0,,,,0.0,667.0,-0.003062789530545767,0.21624184424715687,0.5333333333333333,1421.448275862069,0.20000000000000134,1.0,1.0,True,True
510300.XSHG,2024-09-09,2024-09-09 14:48:00,227,,5,0.0013030917519150902,1.0,0.0013604326707408144,0.0,-6.0,,,,0.0,343.0,-0.003062789530545767,0.217372589955628,0.5333333333333333,1421.448275862069,0.20000000000000134,1.0,1.0,True,True
510300.XSHG,2024-09-23,2024-09-23 14:06:00,185,,5,0.0013600637254656425,1.0,0.0014202386892892575,30.44142381228273,24.44142381228273,,,,0.003044142381228273,161.0,-0.003044142381228244,0.11599880721673214,0.43333333333333335,1744.5862068965516,0.4293174756733052,1.0,1.0,True,True
510300.XSHG,2024-09-24,2024-09-24 10:01:00,30,,5,0.0013118906551477427,1.0,0.001369287537796385,0.0,-6.0,,,,0.0,796.0,-0.0030257209165370676,0.19897467131723426,0.5,1023.7241379310345,1.0,1.0,1.0,True,True
510300.XSHG,2024-09-30,2024-09-30 14:24:00,203,,5,0.0031965632579034017,1.0,0.0032889497801231985,96.61910911736891,90.61910911736891,,,,0.00966191091173689,78.0,-0.007255170881172022,0.7629859583091828,0.5,2177.0344827586205,0.3120947514638928,1.0,1.0,True,True
510300.XSHG,2024-09-30,2024-09-30 14:25:00,204,,5,0.0019372421770444885,1.0,0.0019932320176935473,121.21360532345041,115.21360532345041,,,,0.01212136053234504,1207.0,-0.004866189651173011,0.5287546690039926,0.5,2177.0344827586205,0.3120947514638928,1.0,1.0,True,True
510300.XSHG,2024-10-08,2024-10-08 10:39:00,68,,5,0.002438880092214317,1.0,0.0024932293897641676,301.9973986363241,295.9973986363241,,,,0.03019973986363241,1309.0,-0.007050557996666687,0.3605244273003339,0.4666666666666667,893.3448275862069,0.2255331262414052,1.0,1.0,True,True
510300.XSHG,2024-10-08,2024-10-08 10:51:00,80,,5,0.0014734969250009746,1.0,0.0015063331120162033,46.083030861941815,40.083030861941815,,,,0.004608303086194181,377.0,-0.004608303086194107,0.4801985975215299,0.4666666666666667,893.3448275862069,0.2255331262414052,1.0,1.0,True,True
510300.XSHG,2025-03-06,2025-03-06 10:31:00,60,,5,0.0013401210638478924,1.0,0.0013926923451502847,24.783160144670006,18.783160144670006,,,,0.0024783160144670005,2147.0,-0.00247831601446709,0.15215674127270137,0.6,1104.448275862069,0.1664945257479399,1.0,1.0,True,True
510300.XSHG,2025-04-07,2025-04-07 10:20:00,49,,5,0.001375334273759847,1.0,0.0014296651238547657,53.476063265952774,47.476063265952774,,,,0.005347606326595277,328.0,-0.002677377770716403,0.15517689148400177,0.43333333333333335,1994.3103448275863,0.30863447156758866,1.0,1.0,True,True
