label,hold,th_long_mult,th_short_mult,scaled,ret,sharpe,dd,wr,avg_bps,trades,trades_per_day
h2_L1.5_S1.5_1x,2,1.5,1.5,False,-0.026885509611043634,-1.627507492549862,-0.03234317452518887,0.21,-2.6918926667015226,139,1.39
h1_L1.0_LO_1x,1,1.0,999.0,False,-0.04821223995668478,-1.8456094234201748,-0.04591003092847146,0.39,-4.856737062622158,863,8.63
h1_L1.5_S1.5_1x,1,1.5,1.5,False,-0.018692855926567553,-1.8577450349761475,-0.01871687243122322,0.23,-1.874478888255686,140,1.4
h8_L1.0_S1.0_sc,8,1.0,1.0,True,-0.1559473387487612,-2.048773163820717,-0.1809763116903057,0.3,-16.192775070640923,565,5.65
h1_L1.0_S1.5_1x,1,1.0,1.5,False,-0.061414167678264575,-2.2797846605319374,-0.05894199657183419,0.38,-6.245721769556852,890,8.9
h8_L1.0_S1.0_1x,8,1.0,1.0,False,-0.19312252663616425,-3.160524703673269,-0.18957158669057117,0.31,-20.910267672243435,595,5.95
h5_L1.0_S1.0_sc,5,1.0,1.0,True,-0.1901493304156504,-3.510231185626591,-0.18489082979342297,0.31,-20.653772577921334,744,7.44
h2_L0.7_S1.0_1x,2,0.7,1.0,False,-0.14870993968339075,-3.5411720081421993,-0.1435735600643061,0.32,-15.845979225170106,1669,16.69
h5_L1.0_S1.0_1x,5,1.0,1.0,False,-0.2094798206941142,-4.89724361782173,-0.20475911366310717,0.3,-23.208531333649503,768,7.68
h3_L1.0_S1.0_sc,3,1.0,1.0,True,-0.25104192672553804,-5.28472291990411,-0.24711450347807018,0.27,-28.519631057828494,894,8.94
h1_L0.7_LO_1x,1,0.7,999.0,False,-0.143970186193212,-5.452852651074922,-0.1391436065160112,0.32,-15.436113112210421,1765,17.65
h1_L0.7_S1.5_1x,1,0.7,1.5,False,-0.15027154647209773,-5.6351943408379706,-0.14520416292629268,0.33,-16.171117953169112,1782,17.82
h1_L0.5_LO_1x,1,0.5,999.0,False,-0.1736893786556194,-5.791520095316336,-0.16915841107547203,0.3,-18.931295525078145,2236,22.36
h1_L0.7_S1.0_sc,1,0.7,1.0,True,-0.23631544113993552,-5.813035223701517,-0.23235891754635807,0.19,-26.673557157387084,1867,18.67
