trade_no,date,entry_time,exit_time,direction,size,entry_signal_z,exit_signal_z,entry_price,exit_price,gross_bps,cost_bps,net_bps,result,cum_pnl_bps,approx_pnl_yuan,index_from_open_bps
5,2026-01-22,10:25,10:26,LONG,1.62,0.81,0.61,1.007001,1.009208,21.92,4.5,31.05,WIN,51.01,3633.0,92.08
6,2026-01-22,10:26,10:27,LONG,1.22,0.61,-0.81,1.009208,1.008527,-6.75,4.5,-12.71,LOSS,38.3,-1487.0,85.27
7,2026-01-22,10:28,10:29,SHORT,1.09,-1.09,0.36,1.00653,1.006813,-2.81,4.5,-7.56,LOSS,30.74,-884.0,68.13
8,2026-01-22,10:42,10:43,LONG,1.32,0.66,0.31,1.013779,1.013145,-6.26,4.5,-12.74,LOSS,18.0,-1491.0,131.45
9,2026-01-22,11:02,11:03,LONG,1.86,0.93,-0.95,1.023749,1.024166,4.08,4.5,3.07,WIN,21.07,359.0,241.66
10,2026-01-22,11:09,11:10,SHORT,1.01,-1.01,0.24,1.024302,1.026351,-20.0,4.5,-24.68,LOSS,-3.61,-2887.0,263.51
11,2026-01-22,11:11,11:12,LONG,1.08,0.54,-0.95,1.028508,1.028915,3.95,4.5,-0.22,LOSS,-3.84,-26.0,289.15
12,2026-01-22,11:16,11:17,SHORT,1.06,-1.06,-0.37,1.024834,1.024533,2.94,4.5,-1.38,LOSS,-5.22,-161.0,245.33
13,2026-01-22,11:20,11:21,LONG,1.19,0.6,0.07,1.025936,1.026035,0.97,4.5,-3.34,LOSS,-8.56,-391.0,260.35
14,2026-01-22,11:22,11:23,SHORT,1.3,-1.3,-0.1,1.025338,1.025081,2.5,4.5,-1.25,LOSS,-9.82,-147.0,250.81
15,2026-01-22,11:27,11:28,LONG,1.12,0.56,0.82,1.026412,1.027254,8.2,4.5,4.66,WIN,-5.16,545.0,272.54
16,2026-01-22,11:28,11:29,LONG,1.63,0.82,-0.65,1.027254,1.026718,-5.22,4.5,-13.01,LOSS,-18.17,-1522.0,267.18
17,2026-01-22,11:30,13:01,SHORT,1.15,-1.15,-0.93,1.027041,1.028501,-14.21,4.5,-20.82,LOSS,-38.99,-2436.0,285.01
18,2026-01-22,13:05,13:06,LONG,1.2,0.6,-0.21,1.03346,1.03363,1.65,4.5,-2.52,LOSS,-41.51,-295.0,336.3
19,2026-01-22,13:07,13:08,SHORT,1.01,-1.01,0.29,1.033497,1.034919,-13.76,4.5,-18.39,LOSS,-59.91,-2152.0,349.19
1,2026-01-23,09:42,09:43,LONG,1.33,0.66,-0.8,1.012021,1.010403,-15.99,4.5,-25.72,LOSS,-25.72,-3009.0,104.03
2,2026-01-23,09:44,09:45,LONG,1.55,0.78,-0.16,1.012226,1.011114,-10.98,4.5,-21.55,LOSS,-47.27,-2521.0,111.14
3,2026-01-23,10:03,10:04,LONG,1.31,0.65,0.43,1.027091,1.028141,10.22,4.5,8.86,WIN,-38.41,1037.0,281.41
4,2026-01-23,10:10,10:11,LONG,1.1,0.55,-0.04,1.030121,1.031259,11.05,4.5,7.67,WIN,-30.73,898.0,312.59
5,2026-01-23,10:16,10:17,SHORT,1.1,-1.1,0.95,1.030568,1.031109,-5.25,4.5,-10.27,LOSS,-41.01,-1202.0,311.09
6,2026-01-23,10:17,10:18,LONG,1.9,0.95,-0.43,1.031109,1.031005,-1.02,4.5,-6.43,LOSS,-47.43,-752.0,310.05
7,2026-01-23,10:19,10:20,LONG,1.5,0.75,-0.39,1.032603,1.033198,5.76,4.5,4.12,WIN,-43.31,482.0,331.98
8,2026-01-23,10:21,10:22,SHORT,1.15,-1.15,-1.22,1.033637,1.032904,7.09,4.5,3.68,WIN,-39.64,430.0,329.04
9,2026-01-23,10:22,10:23,SHORT,1.22,-1.22,-0.13,1.032904,1.033408,-4.87,4.5,-10.43,LOSS,-50.07,-1220.0,334.08
